,City Name,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed
0,Bluff,-23.58,149.07,60.28,0,85,2.95
1,Iskateley,67.68,53.15,28.51,92,92,3.06
2,Atuona,-9.8,-139.03,82.69,24,98,15.48
3,Jamestown,-33.21,138.6,40.21,0,81,2.73
4,Souillac,45.6,-0.6,53.6,0,66,6.93
5,Rikitea,-23.12,-134.97,77.2,88,100,6.42
6,Vaini,15.34,74.49,69.01,0,88,1.05
7,Kodiak,39.95,-94.76,73.4,75,26,13.87
8,Iquique,-20.22,-70.14,73.4,0,60,24.16
9,Longyearbyen,78.22,15.63,10.4,20,78,3.36
10,Petropavlovsk-Kamchatskiy,53.05,158.65,32.0,40,85,6.71
11,Ilulissat,69.22,-51.1,41.0,75,41,18.34
12,Lydenburg,-25.1,30.46,66.0,76,95,1.95
13,Lulea,65.58,22.15,32.0,90,88,11.41
14,Forio,40.73,13.86,55.99,20,76,6.93
15,Huarmey,-10.07,-78.15,77.02,12,57,3.74
16,Leningradskiy,69.38,178.42,2.77,36,95,3.18
17,Hithadhoo,-0.6,73.08,85.03,56,100,4.41
18,New,38.43,-84.81,68.0,90,88,6.93
19,Katsuura,33.93,134.5,53.6,75,87,19.46
20,Dunedin,-45.87,170.5,55.0,0,80,14.0
21,Butaritari,3.07,172.79,81.16,56,100,12.68
22,Mataura,-46.19,168.86,39.31,0,67,3.62
23,Grand,48.39,5.49,51.01,0,93,9.78
24,Lavrentiya,65.58,-170.99,13.75,0,96,38.74
25,Luderitz,-26.65,15.16,59.2,0,88,14.25
26,Torbay,47.66,-52.73,34.0,90,74,14.99
27,Lorengau,-2.02,147.27,80.17,92,100,3.62
28,Fortuna,38.18,-1.13,66.2,20,32,10.29
29,Qaanaaq,77.48,-69.36,22.39,80,88,13.13
30,Lianran,24.92,102.47,59.0,0,58,11.18
31,Flin,48.5,6.66,51.8,0,93,8.77
32,Margate,-43.03,147.26,51.8,20,57,8.05
33,Vostok,46.45,135.83,17.08,32,74,1.95
34,Grindavik,63.84,-22.43,43.0,75,100,11.41
35,Isangel,-19.55,169.27,77.29,0,100,10.11
36,Porosozero,62.72,32.71,27.88,76,80,2.28
37,Puerto,8.5,124.75,77.0,20,90,5.99
38,Hilo,19.71,-155.08,79.0,1,54,4.7
39,Hermanus,-34.42,19.24,63.0,0,90,1.95
40,Ossora,59.24,163.07,27.16,32,92,13.24
41,Iglesias,42.3,-3.99,43.0,92,93,17.22
42,Bathsheba,13.22,-59.52,82.4,20,65,21.92
43,Makakilo,21.35,-158.09,75.99,1,73,5.82
44,Manicore,-5.81,-61.3,85.3,64,73,2.39
45,Ushuaia,-54.81,-68.31,44.6,75,77,19.46
46,Cape,43.58,0.42,51.8,0,75,3.36
47,Bambous,-20.26,57.41,80.6,40,74,16.11
48,Sechura,-5.56,-80.82,79.9,0,65,12.01
49,Malpe,13.35,74.72,84.2,40,74,5.82
50,Barra,-11.09,-43.14,78.01,12,88,2.95
51,Hobart,-42.88,147.33,48.99,40,76,5.82
52,Nchelenge,-9.35,28.74,65.59,88,100,4.18
53,Talnakh,69.49,88.39,18.16,88,91,12.46
54,Lagoa,37.14,-8.45,60.8,40,87,13.87
55,Poum,41.28,20.71,46.69,92,96,1.28
56,Toropets,56.5,31.64,41.2,56,61,9.78
57,Boa,4.43,8.97,77.65,24,100,0.38
58,Puerto,8.5,124.75,77.0,20,90,5.99
59,Kapaa,22.08,-159.32,77.0,40,69,4.7
60,Dikson,73.51,80.55,13.21,48,100,5.53
61,Barrow,-38.31,-60.23,80.62,0,32,9.1
62,Anamur,36.08,32.84,55.4,0,93,4.7
63,Punta,11.01,124.6,74.95,80,100,2.17
64,Cherskiy,68.75,161.3,9.16,0,63,2.39
65,Salalah,17.01,54.1,80.6,0,78,3.36
66,Nouadhibou,20.93,-17.03,68.0,0,64,17.22
67,San,13.3,-4.9,85.93,36,27,9.78
68,Porto,41.15,-8.61,60.01,90,93,14.99
69,Taraz,42.89,71.39,44.6,68,87,6.71
70,Tasiilaq,65.61,-37.64,30.2,92,63,21.92
71,Nikolskoye,59.7,30.79,44.01,0,48,6.71
72,Ostrovnoy,68.05,39.51,24.28,68,86,7.99
73,Sitka,37.17,-99.65,75.0,0,34,5.99
74,Ponta,31.9,-95.08,79.0,90,94,3.36
75,Faanui,-16.48,-151.75,84.13,64,100,17.27
76,Pacific,47.26,-122.25,52.0,90,81,6.93
77,Mount,53.66,-1.85,54.0,75,93,10.29
78,East,3.43,31.7,66.76,32,93,2.62
79,Khatanga,71.98,102.47,8.44,24,72,10.78
